"Broad7_geneID"	"MIPS description"	"FunCat"	"Pfam"	"SignalP"	"ID25"	"ID30"	"ID35"
"NCU01092"	"related to L-2.3-butanediol dehydrogenase"	"02 ENERGY_02.16 fermentation_02.16.09 mixed acid and butanediol fermentation"	";adh_short;KR;Epimerase;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU01093"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Metallophos;DUF870;"	"Non-secretory protein"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU01094"	"related to isoamyl alcohol oxidase"	"01 METABOLISM_01.05 C-compound and carbohydrate metabolism"	";FAD_binding_4;BBE;"	"Signal peptide"	"E_Evol"	"B_Evol"	"B_Evol"
"NCU01095"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Sugar_tr;MFS_1;"	"Non-secretory protein"	"E_Evol"	"B_Evol"	"F_Evol"
"NCU01096"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU01098"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Ank;Herpes_UL21;Ank;DUF1956;Ank;Ank;Ank;Ank;Ank;DUF1777;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU01099"	"related to ras-related GTPase rag"	"30 CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION MECHANISM_30.01 cellular signalling_30.01.05 enzyme mediated signal transduction_30.01.05.05 G-protein mediated signal transduction_30.01.05.05.01 small GTPase mediated signal transduction"	";Zeta_toxin;Arf;ABC_tran;MMR_HSR1;Miro;Ras;Septin;Gtr1_RagA;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU01100"	"related to potential regulatory subunit for Glc7p"	"02 ENERGY_02.19 metabolism of energy reserves (e.g. glycogen, trehalose)_10 CELL CYCLE AND DNA PROCESSING_10.03 cell cycle_10.03.01 mitotic cell cycle and cell cycle control_10.03.02 meiosis_12 PROTEIN SYNTHESIS_12.07 translational control_43 CELL TYPE DIFFERENTIATION_43.01 fungal/microorganismic cell type differentiation_43.01.03 fungal and other eukaryotic cell type differentiation_43.01.03.05 budding, cell polarity and filament formation"	";SEP;UBX;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"F_Evol"
"NCU01101"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";TOM13;"	"Non-secretory protein"	"A_Evol"	"F_Evol"	"F_Evol"
"NCU01102"	"related to cytochrome oxidase processing protein OXA1"	"20 CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES_20.09 transport routes_20.09.04 mitochondrial transport_70 SUBCELLULAR LOCALIZATION_70.16 mitochondrion"	";60KD_IMP;SPT2;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU01103"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Pro_CA;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU01104"	"related to RNA helicase MSS116"	"11 TRANSCRIPTION_11.04 RNA processing_11.04.03 mRNA processing (splicing, 5'-, 3'-end processing)_11.04.03.01 splicing_70 SUBCELLULAR LOCALIZATION_70.16 mitochondrion"	";ResIII;DEAD;Helicase_C;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"F_Evol"
"NCU01105"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";EHN;U79_P34;"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU01106"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";DAO;Amino_oxidase;"	"Non-secretory protein"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU01107"	"related to light induced alcohol dehydrogenase Bli-4"	"01 METABOLISM_01.05 C-compound and carbohydrate metabolism_42 BIOGENESIS OF CELLULAR COMPONENTS_42.16 mitochondrion"	";adh_short;Pyr_redox;KR;Epimerase;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"B_Evol"
"NCU01108"	"related to seed maturation protein pm25"	"98 CLASSIFICATION NOT YET CLEAR-CUT"	";SMP;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU01109"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"B_Evol"	"B_Evol"	"B_Evol"
"NCU01112"	"related to putative lipid binding protein TFS1"	"98 CLASSIFICATION NOT YET CLEAR-CUT"	";PBP;"	"Signal peptide"	"E_Evol"	"F_Evol"	"F_Evol"
"NCU01113"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Pkinase;"	"Non-secretory protein"	"F_Evol"	"N_Evol"	"N_Evol"
"NCU01114"	"related to putative methyltransferase"	"98 CLASSIFICATION NOT YET CLEAR-CUT"	";DUF858;Methyltransf_11;Methyltransf_12;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU01115"	"related to tRNA-splicing endonuclease beta chain"	"11 TRANSCRIPTION_11.02 RNA synthesis_11.02.02 tRNA synthesis_11.04 RNA processing_11.04.02 tRNA processing"	";tRNA_int_endo;"	"Non-secretory protein"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU01116"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Glycos_transf_2;"	"Non-secretory protein"	"E_Evol"	"B_Evol"	"F_Evol"
"NCU01118"	"related to SGT1 protein"	"98 CLASSIFICATION NOT YET CLEAR-CUT"	";TPR_1;TPR_1;CS;SGS;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU01119"	"related to lanosterol synthase"	"01 METABOLISM_01.06 lipid, fatty acid and isoprenoid metabolism"	";Prenyltrans;Prenyltrans;Prenyltrans;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU01120"	"related to meiotic recombination protein REC12"	"10 CELL CYCLE AND DNA PROCESSING_10.01 DNA processing_10.01.05 DNA recombination and DNA repair_10.03 cell cycle_10.03.02 meiosis"	";TP6A_N;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU01121"	"related to ankyrin repeat-containing YAR1"	"98 CLASSIFICATION NOT YET CLEAR-CUT"	";Ank;Ank;Ank;"	"Non-secretory protein"	"E_Evol"	"B_Evol"	"F_Evol"
"NCU01122"	"related to C2H2 - zinc finger protein"	"98 CLASSIFICATION NOT YET CLEAR-CUT"	";zf-C2HC_plant;zf-C2H2;zf-C2H2;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU01123"	"related to 6-hydroxy-d-nicotine oxidase"	"98 CLASSIFICATION NOT YET CLEAR-CUT"	";FAD_binding_4;BBE;"	"Signal peptide"	"E_Evol"	"B_Evol"	"F_Evol"
"NCU01124"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"F_Evol"	"N_Evol"	"N_Evol"
"NCU01127"	"putative protein"	"99 UNCLASSIFIED PROTEINS"	";DUF636;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"B_Evol"
"NCU01132"	"probable sugar transporter"	"20 CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES_20.01 transported compounds (substrates)_20.01.03 C-compound and carbohydrate transport_20.03 transport facilities"	";Sugar_tr;MFS_1;Na_sulph_symp;COPI_assoc;RTA1;"	"Non-secretory protein"	"E_Evol"	"B_Evol"	"B_Evol"
"NCU01134"	"related to cytochrome p450"	"32 CELL RESCUE, DEFENSE AND VIRULENCE_32.07 detoxification"	";p450;"	"Non-secretory protein"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU01135"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU01136"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU01138"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";3HCDH_N;DapB_N;GFO_IDH_MocA;NmrA;Saccharop_dh;3Beta_HSD;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU01140"	"related to mitochondrial nicotinamide nucleotide transhydrogenase"	"02 ENERGY_02.11 electron transport and membrane-associated energy conservation_02.11.05 accessory proteins of electron transport and membrane-associated energy conservation_02.13 respiration_70 SUBCELLULAR LOCALIZATION_70.16 mitochondrion"	";AlaDh_PNT_N;NAS;2-Hacid_dh_C;AlaDh_PNT_C;Shikimate_DH;ADH_zinc_N;DAO;ABC2_membrane;MFS_1;CopD;UPF0005;CTP_transf_1;Competence;Voltage_CLC;PNTB;DUF1109;DUF1290;DUF554;Cob_adeno_trans;TPP_enzyme_M;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU01141"	"probable phosphatidylglycerophosphate synthase PEL1"	"01 METABOLISM_01.01 amino acid metabolism_01.06 lipid, fatty acid and isoprenoid metabolism"	";PLDc;PLDc;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU01142"	"related to nadh-ubiquinone oxidoreductase subunit b17.2"	"20 CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES_20.01 transported compounds (substrates)_20.01.15 electron transport_20.03 transport facilities_70 SUBCELLULAR LOCALIZATION_70.16 mitochondrion"	";NDUFA12;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"B_Evol"
"NCU01143"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Topoisom_I_N;UBA;UBA;RWD;ResIII;DEAD;UPF0052;Helicase_C;HA2;DUF1605;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"B_Evol"
"NCU01144"	"putative protein"	"99 UNCLASSIFIED PROTEINS"	";Extensin_2;"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU01145"	"related to high mobility group protein i/y (hmga)"	"70 SUBCELLULAR LOCALIZATION_70.10 nucleus_70.10.03 chromosome"	";AT_hook;AT_hook;AT_hook;AT_hook;AT_hook;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU01146"	"related to signal sequence receptor alpha chain"	"70 SUBCELLULAR LOCALIZATION_70.07 endoplasmic reticulum"	";TRAP_alpha;"	"Signal peptide"	"E_Evol"	"F_Evol"	"F_Evol"
"NCU01147"	"related to L-2,4-diaminobutyrate decarboxylase"	"01 METABOLISM_01.20 secondary metabolism"	";Pyridoxal_deC;Beta_elim_lyase;"	"Non-secretory protein"	"O_Evol"	"F_Evol"	"F_Evol"
"NCU01148"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Ubie_methyltran;MTS;Methyltransf_11;Methyltransf_12;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU01149"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Cupin_5;"	"Non-secretory protein"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU01150"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";ArfGap;GATA;UBA;"	"Non-secretory protein"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU01151"	"related to micromolar calcium activated neutral protease 1 (capn1)"	"14 PROTEIN FATE (folding, modification, destination)_14.13 protein/peptide degradation"	";Peptidase_C2;NPIP;TolA;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU01153"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU01154"	"related to NsdD protein"	"98 CLASSIFICATION NOT YET CLEAR-CUT"	";HPC2;Extensin_2;Drf_FH1;OMP_19;GATA;"	"Non-secretory protein"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU01157"	"related to gamma-glutamylcysteine synthetase"	"01 METABOLISM_01.20 secondary metabolism_01.20.37 metabolism of peptide derived compounds_01.20.37.01 metabolism of thioredoxin, glutaredoxin, glutathion"	";GCS;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU01158"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";ATP1G1_PLM_MAT8;Extensin_2;Drf_FH1;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU01160"	"probable RNA helicase DBP5"	"11 TRANSCRIPTION_20 CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES_20.01 transported compounds (substrates)_20.01.21 RNA transport_20.09 transport routes_20.09.01 nuclear transport"	";ResIII;DEAD;Helicase_C;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU01161"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";FCH;Alb1;C1_1;C1_3;C1_2;DUF1610;zf-AN1;SH3_1;SH3_2;SH3_1;SH3_2;"	"Non-secretory protein"	"B_Evol"	"B_Evol"	"F_Evol"
"NCU01162"	"probable GEL1 protein"	"70 SUBCELLULAR LOCALIZATION_70.01 cell wall"	";Glyco_hydro_72;Cellulase;"	"Signal peptide"	"E_Evol"	"A_Evol"	"A_Evol"
"NCU01163"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";GAF;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU01164"	"transcription elongation complex subunit (CDC68) CDC-68"	"10 CELL CYCLE AND DNA PROCESSING_10.03 cell cycle_11 TRANSCRIPTION_11.02 RNA synthesis_11.02.03 mRNA synthesis_11.02.03.01 general transcription activities"	";Peptidase_M24;SPT16;SSrecog;Rtt106;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU01165"	"related to cell division protein CDC50"	"10 CELL CYCLE AND DNA PROCESSING_10.03 cell cycle_10.03.01 mitotic cell cycle and cell cycle control"	";CDC50;"	"Signal anchor"	"E_Evol"	"E_Evol"	"B_Evol"
"NCU01166"	"cAMP-dependent protein kinase regulatory subunit MCB"	"16 PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic)_16.19 nucleotide/nucleoside/nucleobase binding_16.19.01 cyclic nucleotide binding (cAMP, cGMP, etc.)_30 CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION MECHANISM_30.01 cellular signalling_30.01.09 second messenger mediated signal transduction_30.01.09.07 cAMP/cGMP mediated signal transduction_40 CELL FATE_40.01 cell growth / morphogenesis_40.01.03 directional cell growth (morphogenesis)_43 CELL TYPE DIFFERENTIATION_43.01 fungal/microorganismic cell type differentiation_43.01.03 fungal and other eukaryotic cell type differentiation_43.01.03.05 budding, cell polarity and filament formation"	";cNMP_binding;cNMP_binding;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU01167"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";BCAS2;"	"Non-secretory protein"	"E_Evol"	"B_Evol"	"F_Evol"
"NCU01169"	"NADH-ubiquinone oxidoreductase 24 kDa subunit, mitochondrial precursor NUO-24"	"02 ENERGY_02.11 electron transport and membrane-associated energy conservation_20 CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES_20.01 transported compounds (substrates)_20.01.15 electron transport_20.03 transport facilities_70 SUBCELLULAR LOCALIZATION_70.16 mitochondrion"	";Complex1_24kDa;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU01170"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";AMP-binding;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU01171"	"probable cell division control protein nda4"	"10 CELL CYCLE AND DNA PROCESSING_10.01 DNA processing_10.01.03 DNA synthesis and replication_10.03 cell cycle_10.03.01 mitotic cell cycle and cell cycle control"	";MCM;AAA;AAA_3;AAA_5;Mg_chelatase;GntR;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU01172"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Vps54;"	"Non-secretory protein"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU01173"	"related to dnase1 protein"	"01 METABOLISM_01.03 nucleotide/nucleoside/nucleobase metabolism_01.03.16 polynucleotide degradation_01.03.16.01 RNA degradation"	"NULL"	"Signal peptide"	"F_Evol"	"F_Evol"	"N_Evol"
"NCU01174"	"related to cell division control protein CDC23"	"10 CELL CYCLE AND DNA PROCESSING_10.03 cell cycle_10.03.01 mitotic cell cycle and cell cycle control"	";APC8;TPR_2;TPR_1;TPR_2;TPR_1;TPR_2;TPR_1;TPR_2;TPR_1;TPR_2;TPR_1;TPR_2;TPR_1;TPR_2;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"A_Evol"
"NCU01175"	"farnesyl pyrophosphate synthetase FPPS"	"01 METABOLISM_01.06 lipid, fatty acid and isoprenoid metabolism_01.06.06 isoprenoid metabolism"	";polyprenyl_synt;Iron_traffic;ACPS;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU01176"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";PH;"	"Non-secretory protein"	"F_Evol"	"N_Evol"	"N_Evol"
"NCU01177"	"related to methionine adenosyltransferase regulatory beta subunit"	"01 METABOLISM_01.01 amino acid metabolism"	";adh_short;KR;RmlD_sub_bind;Epimerase;Polysacc_synt_2;3Beta_HSD;NAD_binding_4;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU01178"	"related to 6-phosphofructo-2-kinase/fructose-2,6-bisphosphate 2-phosphatase"	"01 METABOLISM_01.05 C-compound and carbohydrate metabolism"	";6PF2K;PGAM;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"B_Evol"
"NCU01179"	"mitochondrial import receptor subunit tom-40 (MOM38 protein) TOM-40"	"20 CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES_20.09 transport routes_20.09.04 mitochondrial transport_70 SUBCELLULAR LOCALIZATION_70.16 mitochondrion"	";Porin_3;"	"Non-secretory protein"	"E_Evol"	"B_Evol"	"B_Evol"
"NCU01180"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";UCH;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU01181"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Acyl-CoA_dh_N;Acyl-CoA_dh_M;Acyl-CoA_dh_1;Acyl-CoA_dh_2;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU01182"	"related to BNS1 protein"	"10 CELL CYCLE AND DNA PROCESSING_10.03 cell cycle_10.03.01 mitotic cell cycle and cell cycle control"	";Spo12;"	"Non-secretory protein"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU01183"	"probable GTP-binding protein"	"16 PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic)_16.19 nucleotide/nucleoside/nucleobase binding_16.19.05 GTP binding_30 CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION MECHANISM_30.01 cellular signalling"	";MMR_HSR1;GTP_EFTU;Miro;Dynamin_N;TGS;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU01184"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";zf-CCCH;RRM_1;"	"Non-secretory protein"	"E_Evol"	"B_Evol"	"B_Evol"
"NCU01185"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";UreF;"	"Non-secretory protein"	"E_Evol"	"F_Evol"	"F_Evol"
"NCU01186"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Sas10_Utp3;PspA_IM30;ATG16;KAR9;Pox_A_type_inc;Pox_A_type_inc;Pox_A_type_inc;LUC7;Pox_A_type_inc;SAB;Pox_A_type_inc;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU01187"	"cpc-3 protein CPC-3"	"12 PROTEIN SYNTHESIS_12.07 translational control_14 PROTEIN FATE (folding, modification, destination)_14.07 protein modification_14.07.03 modification by phosphorylation, dephosphorylation, autophosphorylation_70 SUBCELLULAR LOCALIZATION_70.03 cytoplasm"	";RWD;Pkinase;Pkinase_Tyr;Cenp-B_dimeris;HGTP_anticodon;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"F_Evol"
"NCU01189"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";UBA;UIM;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU01190"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";DUF410;"	"Non-secretory protein"	"E_Evol"	"B_Evol"	"F_Evol"
"NCU01191"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU01192"	"probable DNA-directed DNA polymerase III"	"10 CELL CYCLE AND DNA PROCESSING_10.01 DNA processing_10.01.03 DNA synthesis and replication_10.01.05 DNA recombination and DNA repair_10.01.05.01 DNA repair_70 SUBCELLULAR LOCALIZATION_70.10 nucleus"	";DNA_pol_B_exo;DNA_pol_B;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU01195"	"NADP-specific glutamate dehydrogenase GDH"	"01 METABOLISM_01.01 amino acid metabolism_01.01.03 assimilation of ammonia, metabolism of the glutamate group_01.01.03.01 metabolism of glutamine_01.01.03.01.02 degradation of glutamine_01.01.03.03 metabolism of proline_01.01.03.03.02 degradation of proline_01.01.03.05 metabolism of arginine_01.01.03.05.02 degradation of arginine_01.02 nitrogen, sulfur and selenium metabolism"	";ELFV_dehydrog_N;ACP_syn_III_C;ELFV_dehydrog;CheY-binding;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU01196"	"related to stress response protein rds1p"	"32 CELL RESCUE, DEFENSE AND VIRULENCE_32.01 stress response"	"NULL"	"Signal peptide"	"B_Evol"	"B_Evol"	"B_Evol"
"NCU01197"	"related to SSD1 protein"	"10 CELL CYCLE AND DNA PROCESSING_10.03 cell cycle_10.03.01 mitotic cell cycle and cell cycle control_40 CELL FATE_40.01 cell growth / morphogenesis"	";OB_RNB;RNB;"	"Non-secretory protein"	"B_Evol"	"B_Evol"	"B_Evol"
"NCU01198"	"related to RNA export mediator GLE1"	"11 TRANSCRIPTION_20 CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES_20.01 transported compounds (substrates)_20.01.21 RNA transport_20.09 transport routes_20.09.01 nuclear transport"	";MAP7;GLE1;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU01201"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Trm112p;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU01202"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";BIG1;"	"Signal peptide"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU01203"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"E_Evol"	"B_Evol"	"F_Evol"
"NCU01204"	"related to tropomyosin TPM1"	"40 CELL FATE_40.01 cell growth / morphogenesis_43 CELL TYPE DIFFERENTIATION_43.01 fungal/microorganismic cell type differentiation_43.01.03 fungal and other eukaryotic cell type differentiation_43.01.03.05 budding, cell polarity and filament formation"	";Tropomyosin;"	"Non-secretory protein"	"B_Evol"	"B_Evol"	"B_Evol"
"NCU01205"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU01206"	"related to regulatory protein SET1"	"11 TRANSCRIPTION_11.02 RNA synthesis_11.02.03 mRNA synthesis_11.02.03.04 transcriptional control"	";RRM_1;SET;"	"Non-secretory protein"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU01207"	"H+-transporting ATPase, vacuolar, 67K chain VMA-1"	"20 CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES_20.01 transported compounds (substrates)_20.01.01 ion transport_20.01.01.01 cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.)_20.03 transport facilities_20.03.22 transport ATPases_20.09 transport routes_20.09.13 vacuolar/lysosomal transport"	";ATP-synt_ab_N;ATP-synt_ab;ATP-synt_ab_C;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU01208"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";NUDE_C;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU01209"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Zn_clus;"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU01210"	"related to para-aminobenzoic acid synthetase"	"01 METABOLISM_01.07 metabolism of vitamins, cofactors, and prosthetic groups_01.07.01 biosynthesis of vitamins, cofactors, and prosthetic groups"	";GATase;Peptidase_C26;GPS;Anth_synt_I_N;Chorismate_bind;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"B_Evol"
"NCU01211"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";DUF1766;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU01214"	"related to glucan 1,4-alpha-glucosidase"	"01 METABOLISM_01.05 C-compound and carbohydrate metabolism_70 SUBCELLULAR LOCALIZATION_70.27 extracellular / secretion proteins"	";P-II;"	"Signal peptide"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU01215"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";4HBT;"	"Non-secretory protein"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU01216"	"related to protein GRR1"	"01 METABOLISM_01.05 C-compound and carbohydrate metabolism_01.05.25 regulation of C-compound and carbohydrate metabolism_10 CELL CYCLE AND DNA PROCESSING_10.03 cell cycle_10.03.01 mitotic cell cycle and cell cycle control"	";NB;F-box;Tna_leader;LRR_1;LRR_1;LRR_1;LRR_1;LRR_2;LRR_1;LRR_2;LRR_1;LRR_1;LRR_2;LRR_1;LRR_1;LRR_2;"	"Non-secretory protein"	"B_Evol"	"B_Evol"	"F_Evol"
"NCU01218"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU01219"	"probable glutaredoxin"	"32 CELL RESCUE, DEFENSE AND VIRULENCE_32.07 detoxification"	";DUF836;Glutaredoxin;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU01220"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";ubiquitin;BAG;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU01221"	"probable ribosomal protein l13a"	"12 PROTEIN SYNTHESIS_12.01 ribosome biogenesis"	";Ribosomal_L13;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU01223"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU01225"	"probable ubiquitin--protein ligase"	"14 PROTEIN FATE (folding, modification, destination)_14.07 protein modification_14.13 protein/peptide degradation"	";UQ_con;UBA_3;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
